annotations_ambiguous,annotations_figurative,annotations_literal,error,idiom,intended_ambiguous,intended_ambiguous_retrial,intended_figurative,intended_figurative_retrial,intended_literal,intended_literal_retrial,iter,maxvote - for sort,maxvote_ambiguous,maxvote_figurative,maxvote_literal,meaning,not_found,well_formed
"['literal', 'ambiguous', 'figurative']","['figurative', 'literal', 'figurative']","['literal', 'ambiguous', 'literal']",False,fight a losing battle,He was fighting a losing battle,,"He was fighting a losing battle, so he settled for a lesser job just to make ends meet",,"He was fighting a losing battle, as the other opponent had better equipment",,,ambiguous : figurative : literal,ambiguous,figurative,literal,trying to do something even when there is little chance of succeeding,False,True
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']",False,fill the bill,The job would fill the bill,<filled the bill perfectly>,The job would fill the bill and pave the way for a successful career,the new employee <filled the bill perfectly> for the position we needed,The job would fill the bill and provide enough money to cover expenses,the waiter <filled the bill perfectly> with all the items we ordered,0.0,figurative : figurative : figurative,figurative,figurative,figurative,be exactly suitable for a particular situation,False,False
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'literal']",False,find feet,John is finding his feet,<found her feet in the new environment>,John is finding his feet in the new job,"after a few weeks, she <found her feet in the new environment> and became more confident",John is finding his feet while navigating the maze,"after being blindfolded, she <found her feet in the new environment> by touching the ground",0.0,figurative : figurative : figurative,figurative,figurative,figurative,become familiar with a new situation,False,False
"['figurative', 'literal', 'literal']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,fingers and thumbs,He was fumbling with his fingers and thumbs,<all fingers and thumbs>,He was fumbling with his fingers and thumbs trying to make a decision,"when it comes to knitting, I'm <all fingers and thumbs>",He was fumbling with his fingers and thumbs attempting to tie a knot,the hand puppet was <all fingers and thumbs> with no other features,0.0,literal : figurative : literal,literal,figurative,literal,to be clumsy and not very skilled with your hands,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']",False,fingers crossed,I'm keeping my fingers crossed,<keeping my fingers crossed>,I'm keeping my fingers crossed that the job interview will go well,I'm <keeping my fingers crossed> for good news about the job offer,I'm keeping my fingers crossed to ward off any possible bad luck,"while making a wish, I was <keeping my fingers crossed> for added luck",0.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,a gesture of crossed fingers used to express good luck,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'ambiguous']",False,first light,She saw him at first light,,She saw him at first light and couldn't believe how he had changed,,She saw him at first light and followed his silhouette,,,ambiguous : figurative : literal,ambiguous,figurative,literal,the time when the light begins to appear in the morning,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,fish out of water,He was a fish out of water,,He was a fish out of water in this new and unfamiliar environment,,He was a fish out of water since the stream had dried up,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to feel uncomfortable in unfamiliar surroundings,False,True
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']",False,flash in the pan,The party was a flash in the pan,<a flash in the pan>,The party was a flash in the pan as it was quickly over and forgotten,"his sudden success turned out to be <a flash in the pan>, as he couldn't maintain it",The party was a flash in the pan as the fireworks they set went off in an instant,"the oil caught fire, creating <a flash in the pan> while she was cooking",0.0,figurative : figurative : figurative,figurative,figurative,figurative,"something that cannot be repeated, usually a positive concept",False,False
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'ambiguous']",False,flesh and blood,They are my flesh and blood,<my own flesh and blood>,"They are my flesh and blood, no matter how far apart we may be",I couldn't believe <my own flesh and blood> would betray me like that,"They are my flesh and blood, so I should take care of them",the horror movie showed a scene where <my own flesh and blood> was exposed after a terrible accident,0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood.",False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,flog a dead horse,Let's not flog a dead horse,,Let's not flog a dead horse discussing the same thing again.',,Let's not flog a dead horse since it is already dead,,,ambiguous : figurative : literal,ambiguous,figurative,literal,waste energy on something that has no chance of succeeding,False,True
"['literal', 'ambiguous', 'literal']","['literal', 'ambiguous', 'literal']","['literal', 'literal', 'literal']",True,foam at the mouth,The dog was foaming at the mouth,,"The dog was foaming at the mouth when he saw the cat, implying he was ready to attack",,The dog was foaming at the mouth because he was sick,,,literal : literal : literal,literal,literal,literal,be extremely angry,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",False,foot in mouth,He put his foot in his mouth,,He put his foot in his mouth when he said the wrong thing to his boss,,He put his foot in his mouth as he was trying to see what it tasted like,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to say something by accident that embarrasses or upsets someone,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,foot in the door,He got his foot in the door,,He got his foot in the door when he applied for the job,,He got his foot in the door by wedging his foot between the frame and door,,,ambiguous : figurative : literal,ambiguous,figurative,literal,succeed with a first step.,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']",False,frighten or scare to death,She was frightened to death,<scared her to death>,She was frightened to death when she heard the loud clap of thunder,the sudden loud noise <scared her to death> during the movie,She was frightened to death when her doctor told her the results of her tests,the heart attack caused by the unexpected event <scared her to death>,0.0,ambiguous : ambiguous : figurative,ambiguous,ambiguous,figurative,make somebody feel very frightened.,False,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,from A to Z,He knows it from A to Z,,He knows it from A to Z; he is an expert,,He knows it from A to Z; he can recite the entire alphabet,,,ambiguous : figurative : literal,ambiguous,figurative,literal,comprehensive,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,full of beans,He's full of beans,,He's full of beans pushing himself to accomplish his goals,,He's full of beans because he ate a lot of beans for lunch,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to be optimistic or enthusiastic,False,True
