idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt,p_l_he_gpt
castles in the air,thinking of some impossible task,He spent his days [[building castles in the air]] instead of focusing on his job,The artist created a stunning installation of [[building castles in the air]] using lightweight materials,He spent his days building castles in the air instead of focusing on his job,The artist created a stunning installation of building castles in the air using lightweight materials,building castles in the air,Luftschlösser bauen.,"Er verbrachte seine Tage damit, Luftschlösser zu bauen, anstatt sich auf seine Arbeit zu konzentrieren.",Der Künstler schuf eine atemberaubende Installation von Luftschlössern aus leichten Materialien.,בונה טירות באוויר,הוא בילה את ימיו בבניית טירות באוויר במקום להתמקד בעבודתו.,האמן יצר מיצב מהמם של בניית טירות באוויר באמצעות חומרים קלים.
catch napping,"surprise, take unawares.",The surprise quiz [[caught him napping]] and he couldn't answer any questions,I walked into the room and [[caught him napping]] on the couch,The surprise quiz caught him napping and he couldn't answer any questions,I walked into the room and caught him napping on the couch,caught him napping,Ich habe ihn beim Schlafen erwischt.,Der Überraschungstest hat ihn überrascht und er konnte keine Fragen beantworten.,"Ich betrat den Raum und erwischte ihn dabei, wie er auf dem Sofa schlief.",תפס אותו ישנה,המבחן המפתיע תפס אותו ישן והוא לא יכול היה לענות על שום שאלה.,הלכתי לחדר ותפסתי אותו נמנם על הספה
catch up,"to get to the same level, standard, or status as something or someone",I need [[to catch up with her]] to discuss the latest news,I had to run faster [[to catch up with her]] during the race,I need to catch up with her to discuss the latest news,I had to run faster to catch up with her during the race,to catch up with her,Ihr aufholen.,"Ich muss sie einholen, um die neuesten Nachrichten zu besprechen.","Ich musste während des Rennens schneller laufen, um mit ihr Schritt zu halten.",להשתגע אחריה,אני צריך להשתלם עם היא כדי לדון על החדשות האחרונות.,הייתי צריך לרוץ מהר יותר כדי להשתוות אליה במהלך המרוץ.
chapter and verse,verbatim; word for word details.,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations",The priest [[gave them chapter and verse]] from the Bible during the sermon,"When asked about the new policy, she gave them chapter and verse on the company's regulations",The priest gave them chapter and verse from the Bible during the sermon,gave them chapter and verse,gab ihnen Kapitel und Vers,"Als sie nach der neuen Richtlinie gefragt wurde, gab sie ihnen Kapitel und Vers auf die Vorschriften des Unternehmens.",Der Priester gab ihnen Kapitel und Vers aus der Bibel während der Predigt.,נתן להם פרק ופסוק,"כאשר שאלו אותה על המדיניות החדשה, היא נתנה להם פרק ופסוק על התקנות של החברה.","הכהן נתן להם פרק ופסוק מהתנ""ך במהלך הדרשה."
child's play,an informal expression meaning something that is easy to do,Solving the puzzle [[it was child's play]] for the experienced detective,The playground equipment [[it was child's play]] for the kids to enjoy,Solving the puzzle it was child's play for the experienced detective,The playground equipment it was child's play for the kids to enjoy,it was child's play,Es war ein Kinderspiel.,Das Lösen des Rätsels war für den erfahrenen Detektiv ein Kinderspiel.,"Die Spielplatz-Ausrüstung war ein Kinderspiel für die Kinder, um zu genießen.",זה היה משחק ילדים,פתרון הפאזל היה משחק ילדים עבור הבלש המנוסה.,הציוד בגינת המשחקים היה משחק ילדים קל לילדים להנאתם.
chill wind,to encounter the problems or trouble,"When the news of the layoffs arrived, [[a chill wind blew]] through the office","As we walked through the forest, [[a chill wind blew]] and made us shiver","When the news of the layoffs arrived, a chill wind blew through the office","As we walked through the forest, a chill wind blew and made us shiver",a chill wind blew,Ein kalter Wind wehte.,"Als die Nachricht von den Entlassungen ankam, wehte ein eisiger Wind durch das Büro.","Als wir durch den Wald gingen, wehte ein kalter Wind und ließ uns frösteln.",רוח קרה נשבה,"כשהחדשות על הפיטורים הגיעו, רוח קרה נשבה במשרד.","כשהלכנו דרך היער, רוח קרה נשבה וגרמה לנו לרעוד."
chink in armour,a susceptible or vulnerable area.,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit","While examining the knight's suit, he [[found a chink in their armour]] that needed repair","After analyzing their strategy, we found a chink in their armour that we could exploit","While examining the knight's suit, he found a chink in their armour that needed repair",found a chink in their armour,Ich habe eine Schwachstelle in ihrer Rüstung gefunden.,"Nachdem wir ihre Strategie analysiert hatten, fanden wir eine Schwachstelle in ihrer Rüstung, die wir ausnutzen konnten.","Während er die Rüstung des Ritters untersuchte, fand er eine Lücke in ihrer Rüstung, die repariert werden musste.",מצא נקודת חולשה בשריון שלהם,"לאחר ניתוח האסטרטגיה שלהם, גילינו נקודת חולשה בשריון שלהם שאנחנו יכולים לנצל.","במהלך בדיקת החיבור של האביר, הוא מצא פגם בשריון שצריך לתקן."
choke up,make a person become overemotional and speechless,"Hearing the sad news, [[he started to choke up]] and could n't speak","While eating too quickly, [[he started to choke up]] on a piece of food","Hearing the sad news, he started to choke up and could n't speak","While eating too quickly, he started to choke up on a piece of food",he started to choke up,Er fing an zu ersticken.,"Als er die traurigen Nachrichten hörte, fing er an zu schluchzen und konnte nicht sprechen.","Während er zu schnell aß, fing er an, sich an einem Stück Essen zu verschlucken.",הוא התחיל להתכווץ בגרון,"שמע את החדשות העצובות, הוא התחיל להתקשות ולא יכול לדבר.","בזמן שהוא אכל מהר מדי, הוא התחיל להתכווץ על חתיכת אוכל."
clamp down,suppress or prevent something in an oppressive or harsh manner,The principal decided [[to clamp down on the situation]] by enforcing stricter rules,The mechanic used a tool [[to clamp down on the situation]] and secure the loose parts,The principal decided to clamp down on the situation by enforcing stricter rules,The mechanic used a tool to clamp down on the situation and secure the loose parts,to clamp down on the situation,Die Situation unter Kontrolle bringen.,"Der Schulleiter beschloss, die Situation durch die Durchsetzung strengerer Regeln in den Griff zu bekommen.","Der Mechaniker benutzte ein Werkzeug, um die Situation zu fixieren und die losen Teile zu sichern.",להכין סדק על המצב,המנהל החליט להתחמק מהמצב על ידי חיזוק כללים קשים יותר.,המכונאי השתמש בכלי כדי לכבות על המצב ולאבטח את החלקים המתפרקים.
clean slate,to wipe the past out and begin afresh,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship",The artist decided [[to start with a clean slate]] by wiping off the chalkboard,"After apologizing, they decided to start with a clean slate and rebuild their friendship",The artist decided to start with a clean slate by wiping off the chalkboard,to start with a clean slate,Mit einem sauberen Blatt anfangen.,"Nachdem sie sich entschuldigt hatten, beschlossen sie, mit einem sauberen Blatt anzufangen und ihre Freundschaft wieder aufzubauen.","Der Künstler entschied sich, mit einem sauberen Blatt anzufangen, indem er die Tafel abwischte.",להתחיל מחדש,"לאחר התנצלותם, הם החליטו להתחיל מחדש ולבנות את הידרון שלהם.",האמן החליט להתחיל מחדש על גבי לוח השחור על ידי מחיקתו.
clean sweep,an irresistible victory,The team [[made a clean sweep]] by winning all the matches in the tournament,The janitor [[made a clean sweep]] of the classroom floor,The team made a clean sweep by winning all the matches in the tournament,The janitor made a clean sweep of the classroom floor,made a clean sweep,machte einen sauberen Schnitt,"Das Team hat einen sauberen Durchmarsch gemacht, indem es alle Spiele im Turnier gewonnen hat.",Der Hausmeister hat den Klassenraumboden gründlich gekehrt.,עשה ניקיון מוחלט,הקבוצה עשתה ניקיון על ידי זכייה בכל המשחקים בטורניר.,המנקה עשה ניקיון מלא של רצפת הכיתה.
