idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt
gloves are off,people are beginning to behave in a more hostile or tenacious way; usually used to describe a dispute or fight,"After the heated argument, [[the gloves are off now]] and they won't hold back","After finishing the gardening work, [[the gloves are off now]] and they can relax","After the heated argument, the gloves are off now and they won't hold back","After finishing the gardening work, the gloves are off now and they can relax",the gloves are off now,Die Handschuhe sind jetzt aus.,Nach dem hitzigen Streit sind die Handschuhe jetzt ausgezogen und sie werden sich nicht zurückhalten.
go down in flames,to fail spectacularly,His political career [[went down in flames]] after the scandal,The aircraft [[went down in flames]] after being struck by lightning,His political career went down in flames after the scandal,The aircraft went down in flames after being struck by lightning,went down in flames,ging in Flammen auf,Seine politische Karriere ging nach dem Skandal in Flammen auf.
go round in circles,work at something but keep failing to make progress with it.,The team was [[going round in circles]] trying to solve the problem,The children were [[going round in circles]] while playing a spinning game,The team was going round in circles trying to solve the problem,The children were going round in circles while playing a spinning game,going round in circles,im Kreis gehen,"Das Team drehte sich im Kreis und versuchte, das Problem zu lösen."
go steady,have a romantic relationship with someone,"After dating for a few months, [[they decided to go steady]] and become exclusive","During the balance exercise, [[they decided to go steady]] and avoid sudden movements","After dating for a few months, they decided to go steady and become exclusive","During the balance exercise, they decided to go steady and avoid sudden movements",they decided to go steady,"Sie haben beschlossen, fest zusammen zu sein.","Nach ein paar Monaten des Datings beschlossen sie, fest zusammen zu sein und exklusiv zu werden."
go the extra mile,to make an extra effort,"To make sure the project was perfect, [[he went the extra mile]] and double - checked everything","During the marathon, [[he went the extra mile]] by mistake due to a wrong turn","To make sure the project was perfect, he went the extra mile and double - checked everything","During the marathon, he went the extra mile by mistake due to a wrong turn",he went the extra mile,Er hat sich besonders angestrengt.,"Um sicherzustellen, dass das Projekt perfekt war, ging er die extra Meile und überprüfte alles doppelt."
go through a rough patch,to experience a lot of problems in a period of life,"After losing her job, she was [[going through a rough patch]] in her life","While hiking, we were [[going through a rough patch]] filled with rocks and thorns","After losing her job, she was going through a rough patch in her life","While hiking, we were going through a rough patch filled with rocks and thorns",going through a rough patch,durch eine schwierige Phase gehen,"Nachdem sie ihren Job verloren hatte, durchlebte sie eine schwierige Phase in ihrem Leben."
go through channels,to follow the correct steps in order to get something done,He [[went through channels to get]] the necessary approval for his project,The water [[went through channels to get]] to the other side of the dam,He went through channels to get the necessary approval for his project,The water went through channels to get to the other side of the dam,went through channels to get,"ging durch Kanäle, um zu bekommen.","Er ging über Kanäle, um die notwendige Genehmigung für sein Projekt zu erhalten."
go through the roof,to become very angry,His anger [[went through the roof]] when he found out about the betrayal,The rocket [[went through the roof]] of the building during the experiment,His anger went through the roof when he found out about the betrayal,The rocket went through the roof of the building during the experiment,went through the roof,ging durch die Decke,"Sein Ärger ging durch die Decke, als er von dem Verrat erfuhr."
got in his hair,to annoy someone so much that they cannot get on with what they are doing,The constant questions from his coworkers [[got in his hair]] and made it difficult to concentrate,The confetti from the party [[got in his hair]] and took a while to remove,The constant questions from his coworkers got in his hair and made it difficult to concentrate,The confetti from the party got in his hair and took a while to remove,got in his hair,Es hat sich in seinen Haaren verfangen.,"Die ständigen Fragen seiner Kollegen gingen ihm auf die Nerven und machten es schwer, sich zu konzentrieren."
got it made,"to be certain to be successful and have a good life, often without much effort:","With their successful business, [[they've got it made]] in life","After assembling the furniture, [[they've got it made]] and ready for use","With their successful business, they've got it made in life","After assembling the furniture, they've got it made and ready for use",they've got it made,Sie haben es geschafft.,Mit ihrem erfolgreichen Geschäft haben sie es im Leben geschafft.
got off your back,to be annoyed and ask someone to stop finding faults or criticize you,"When you completed the project, your boss [[finally got off your back]]",The cat [[finally got off your back]] when you stood up,"When you completed the project, your boss finally got off your back",The cat finally got off your back when you stood up,finally got off your back,"Endlich hast du aufgehört, mich zu belästigen.","Als du das Projekt abgeschlossen hast, hat dein Chef endlich aufgehört, dich zu belästigen."
green around the gills,Someone who looks sick or nauseated.,"After the roller coaster ride, he was [[looking green around the gills]] from nausea",The makeup artist painted him to be [[looking green around the gills]] for the alien costume,"After the roller coaster ride, he was looking green around the gills from nausea",The makeup artist painted him to be looking green around the gills for the alien costume,looking green around the gills,grün im Gesicht aussehen,Nach der Achterbahnfahrt sah er grün im Gesicht aus vor Übelkeit.
had your chips,when someone has completely failed in what they set out to achieve,"After losing the game, it was clear [[you had your chips]]","Once you finished eating, [[you had your chips]] and were ready to leave","After losing the game, it was clear you had your chips","Once you finished eating, you had your chips and were ready to leave",you had your chips,Du hast verloren.,"Nachdem du das Spiel verloren hattest, war es klar, dass du deine Chips verloren hattest."
hammer and tongs,"to argue fiercely, with a lot of energy and noise",They [[went at it hammer and tongs]] during the heated debate,The blacksmith [[went at it hammer and tongs]] while forging the sword,They went at it hammer and tongs during the heated debate,The blacksmith went at it hammer and tongs while forging the sword,went at it hammer and tongs,Ging mit Hammer und Zangen daran.,Sie gingen während der hitzigen Debatte mit vollem Einsatz aufeinander los.
