idiom,meaning,intended_ambiguous,maxvote_ambiguous,intended_figurative,maxvote_figurative,intended_literal,maxvote_literal,annotations_ambiguous,annotations_figurative,annotations_literal,well_formed,maxvote - for sort
cold turkey,in a unexpected and sudden way,She went cold turkey,figurative,She went cold turkey and made an effort to quit smoking,figurative,She went cold turkey and made an effort to cook a turkey without any spices,literal,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",FALSE,figurative : figurative : literal
comb through,to look into something carefully.,He combed through the books,figurative,He combed through the books to find the answer he was looking for,figurative,He combed through the books as if he was brushing his hair,literal,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']",FALSE,figurative : figurative : literal
come across,to meet someone,I came across it,ambiguous,I came across it while scrolling through social media,ambiguous,I came across it when I walked in front of the store,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'figurative']","['literal', 'literal', 'figurative']",FALSE,ambiguous : ambiguous : literal
come clean,to make a disclosure,"He finally came clean"" ",figurative,He finally came clean and confessed all of his lies,figurative,He finally came clean and washed the dishes,ambiguous,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'ambiguous']",FALSE,figurative : figurative : ambiguous
come down with,to have (usually a disease),She came down with something,ambiguous,She came down with something when she heard the bad news,figurative,She came down with something because she was running a fever,figurative,"['literal', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'literal']",FALSE,ambiguous : figurative : figurative
come full circle,return to an earlier position or decision.,The situation has come full circle,figurative,The situation has come full circle when it eventually returned to its original point,figurative,The situation has come full circle as it went around and around in a circular motion,literal,"['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'figurative']",FALSE,figurative : figurative : literal
come out swinging,be confrontational,He came out swinging,ambiguous,He came out swinging when he spoke up about unfair business practices,figurative,He came out swinging when he joined the boxing class,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
cook his goose,to spoil someone's chances of success,He's cooked his goose,ambiguous,He's cooked his goose by lying about his credentials,figurative,He's cooked his goose for dinner,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
cool heels,to wait or take rest,They had to cool their heels,ambiguous,They had to cool their heels and wait patiently for the instructions to arrive,figurative,They had to cool their heels in the shade to reduce the action of the sweat glands,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
cool your jets,to calm down and stop being so anxious or elated.,I told him to cool his jets,ambiguous,I told him to cool his jets when he became angry and started shouting,figurative,I told him to cool his jets because his plane was moving too fast,literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
cost an arm and a leg,very expensive,This painting cost an arm and a leg,figurative,This painting cost an arm and a leg because of its high quality,figurative,"This painting cost an arm and a leg, which I had to pay in order to buy it",figurative,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,figurative : figurative : figurative
count chicken,make plans based on events that may or may not happen,I'm counting chicken,ambiguous,I'm counting chicken before they've hatched,ambiguous,I'm counting chicken to make sure I have enough for dinner,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",FALSE,ambiguous : ambiguous : literal
cover one's tracks,"to keep one's location, activities, and intentions hidden.",He covered his tracks,ambiguous,He covered his tracks by deleting his browsing history,figurative,He covered his tracks with weeds so the hiker wouldn't find them,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
crack the whip,make someone work harder by asserting power or authority,He cracked the whip,ambiguous,He cracked the whip to get his team motivated and complete their tasks,figurative,He cracked the whip to startle the horses and get them moving,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
cross paths,encounter or meet someone by chance.,We crossed paths,ambiguous,We crossed paths earlier today when I saw you at the store,figurative,We crossed paths when we were running the same route,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
cross swords,to fight with another person physically or verbally.,We crossed swords,ambiguous,"We crossed swords in our debate, trying to outwit and out-argue each other",figurative,"We crossed swords, as we staged a fencing match",literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
cross the bridge,to delay worrying about something that might not happen anyway,We have to cross the bridge,ambiguous,We have to cross the bridge when we get to the difficult part of the journey,ambiguous,We have to cross the bridge over the river because the other side is where we need to go,literal,"['literal', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'ambiguous']","['literal', 'literal', 'literal']",FALSE,ambiguous : ambiguous : literal
cross the line,behave in a way that is not acceptable,He crossed the line,ambiguous,He crossed the line when it came to showing disrespect,figurative,He crossed the line as he stepped into the wrong side of the street,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
crowning glory,The greatest or most beautiful thing,Her crowning glory shone brightly,ambiguous,Her crowning glory shone brightly as she achieved success in her career,figurative,Her crowning glory shone brightly as she wore a sparkling tiara,literal,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
crush,feel love-sick for someone.,I have a crush on him,figurative,"I have a crush on him, I feel butterflies in my stomach when I'm around him",figurative,"I have a crush on him, I literally want to crush him in a hug when I see him",literal,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",FALSE,figurative : figurative : literal
cry over spilt milk,to be upset about things that have already been done,Don't cry over spilt milk,ambiguous,Don't cry over spilt milk; it's not worth wallowing in regret,figurative,Don't cry over spilt milk; it's a complete waste of tears,figurative,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'figurative']",FALSE,ambiguous : figurative : figurative
cup of tea,to like something,It's not my cup of tea,ambiguous,It's not my cup of tea as I don't find it enjoyable,figurative,It's not my cup of tea as I don't like how it tastes,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'literal', 'ambiguous']",TRUE,ambiguous : figurative : literal
curiosity killed the cat,too much curiosity can lead to dangerous situations,Her curiosity killed the cat,ambiguous,"Her curiosity killed the cat, as she wanted to know what was happening behind closed doors",figurative,"Her curiosity killed the cat, as she fed it some poisonous food",literal,"['ambiguous', 'figurative', 'ambiguous']","['literal', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
cut and dried,ready-made,The situation is cut and dried,figurative,The situation is cut and dried; there's no more room for discussion,figurative,The situation is cut and dried; it was decided weeks ago,figurative,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,figurative : figurative : figurative
