idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt
cross swords,to fight with another person physically or verbally.,"During the heated debate, she [[crossed swords with him]] over their differing opinions","At the fencing tournament, they [[crossed swords with him]] in a thrilling match","During the heated debate, she crossed swords with him over their differing opinions","At the fencing tournament, they crossed swords with him in a thrilling match",crossed swords with him,kreuzte mit ihm die Schwerter,Während der hitzigen Debatte kreuzte sie mit ihm die Klingen aufgrund ihrer unterschiedlichen Meinungen.,Beim Fechtturnier kreuzten sie in einem aufregenden Kampf die Klingen mit ihm.,חרבות חצו עםו,"במהלך הדיון המתוח, היא חצתה את החרבות עםו על רקע הדעות השונות שלהם."
cross the bridge,to delay worrying about something that might not happen anyway,They [[crossed the bridge together]] when they decided to face their problems as a team,The two friends [[crossed the bridge together]] while enjoying the scenic view,They crossed the bridge together when they decided to face their problems as a team,The two friends crossed the bridge together while enjoying the scenic view,crossed the bridge together,überquerten die Brücke zusammen,"Sie überquerten die Brücke gemeinsam, als sie beschlossen, ihre Probleme als Team anzugehen.",Die beiden Freunde überquerten die Brücke zusammen und genossen dabei die malerische Aussicht.,חצו את הגשר ביחד,הם חצו את הגשר ביחד כשהחליטו להתמודד עם בעיותיהם כצוות.
cross the line,behave in a way that is not acceptable,[[He crossed the line with her]] when he made that inappropriate comment,"During the race, [[he crossed the line with her]] as they finished together",He crossed the line with her when he made that inappropriate comment,"During the race, he crossed the line with her as they finished together",He crossed the line with her,Er hat mit ihr die Grenze überschritten.,"Er hat die Grenze überschritten, als er diesen unangemessenen Kommentar gemacht hat.","Während des Rennens überquerte er mit ihr die Ziellinie, als sie gemeinsam fertig wurden.",הוא חצה את הגבול עם היא.,הוא חצה את הגבול עם היא כשהוא עשה את ההערה הלא מתאימה הזאת.
crush,feel love-sick for someone.,She couldn't help but [[have a crush]] on the charming new coworker,The machine was designed to [[have a crush]] on the aluminum cans for recycling,She couldn't help but have a crush on the charming new coworker,The machine was designed to have a crush on the aluminum cans for recycling,have a crush,haben einen Schwarm,"Sie konnte nicht anders, als sich in den charmanten neuen Kollegen zu verknallen.","Die Maschine wurde entworfen, um die Aluminiumdosen für das Recycling zu zerkleinern.",יש לי תספורת,היא לא יכולה היות אחרת מלהתאהב בעובד חדש ומקסים.
cry over spilt milk,to be upset about things that have already been done,There's no point in [[crying over spilt milk]] now that the deadline has passed,The toddler was [[crying over spilt milk]] on the kitchen floor,There's no point in crying over spilt milk now that the deadline has passed,The toddler was crying over spilt milk on the kitchen floor,crying over spilt milk,über verschüttete Milch weinen,"Es hat keinen Sinn, jetzt über verschüttete Milch zu weinen, da die Frist abgelaufen ist.",Das Kleinkind weinte über verschüttete Milch auf dem Küchenboden.,בוכה על חלב שנשפך.,אין טעם לבכות על חלב שנשפך עכשיו שעבר המועד.
cup of tea,to like something,"Skydiving is [[not my cup of tea]], I prefer calmer activities","This green tea is [[not my cup of tea]], I ordered black tea","Skydiving is not my cup of tea, I prefer calmer activities","This green tea is not my cup of tea, I ordered black tea",not my cup of tea,Nicht mein Ding.,"Fallschirmspringen ist nicht mein Ding, ich bevorzuge ruhigere Aktivitäten.","Dieser grüne Tee ist nicht mein Geschmack, ich habe schwarzen Tee bestellt.",לא הדבר שלי,"צניחת מטוס לא היא הדבר שלי, אני מעדיף פעילויות יותר מרגיעות."
cut and dried,ready-made,"With her impressive qualifications, it was [[a cut and dried decision]] to hire her",The process of making fruit leather involves [[a cut and dried decision]] with the fruit,"With her impressive qualifications, it was a cut and dried decision to hire her",The process of making fruit leather involves a cut and dried decision with the fruit,a cut and dried decision,eine klare Entscheidung,"Mit ihren beeindruckenden Qualifikationen war es eine klare Entscheidung, sie einzustellen.",Der Prozess der Herstellung von Fruchtleder beinhaltet eine geschnittene und getrocknete Entscheidung mit der Frucht.,החלטה קלה וברורה,"עם הכישורים המרשימים שלה, הייתה החלטה קלה וברורה לגמרי לגבי הגיוס שלה."
cut coat according to cloth,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",They [[cut their coat according to their cloth]] by living within their means,The tailor [[cut their coat according to their cloth]] to avoid wasting fabric,They cut their coat according to their cloth by living within their means,The tailor cut their coat according to their cloth to avoid wasting fabric,cut their coat according to their cloth,Schneide ihre Jacke nach ihrem Tuch.,"Sie schneiden ihren Mantel nach ihrem Stoff, indem sie innerhalb ihrer Mittel leben.","Der Schneider schnitt ihren Mantel entsprechend ihrem Stoff, um Stoffverschwendung zu vermeiden.",גזור את המעיל שלהם על פי הבד שלהם.,הם חתכו את המעיל שלהם על פי הבד שלהם על ידי החיים בכסף שלהם.
cut corners,"economise on time, money, materials or effort, perhaps unwisely","To save time and money, they [[cut corners on the project]] by using cheaper materials",The carpenter [[cut corners on the project]] to create a rounded shape,"To save time and money, they cut corners on the project by using cheaper materials",The carpenter cut corners on the project to create a rounded shape,cut corners on the project,Beim Projekt Ecken und Kanten abschneiden.,"Um Zeit und Geld zu sparen, haben sie bei dem Projekt Ecken und Kanten geschnitten, indem sie billigere Materialien verwendet haben.","Der Zimmermann hat bei dem Projekt Ecken abgeschnitten, um eine abgerundete Form zu schaffen.",חתך פינות בפרויקט.,"כדי לחסוך זמן וכסף, הם חיסכו בפרויקט על ידי שימוש בחומרים זולים."
cut the cord,to end a connection with someone,He decided to [[cut the cord with her]] and end their toxic relationship,The nurse [[cut the cord with her]] after the baby was born,He decided to cut the cord with her and end their toxic relationship,The nurse cut the cord with her after the baby was born,cut the cord with her,Trenne dich von ihr.,"Er entschied sich, den Kontakt mit ihr abzubrechen und ihre giftige Beziehung zu beenden.",Die Krankenschwester schnitt die Nabelschnur nach der Geburt des Babys durch.,גזור את החבל עם היא,הוא החליט לגמור את הקשר עם היא ולסיים את הקשר הרעלני שלהם.
cut the mustard,to succeed,"Despite his efforts, he [[couldn't cut the mustard]] in the competitive sales environment","With a dull knife, she [[couldn't cut the mustard]] for her sandwich","Despite his efforts, he couldn't cut the mustard in the competitive sales environment","With a dull knife, she couldn't cut the mustard for her sandwich",couldn't cut the mustard,konnte nicht mithalten,Trotz seiner Bemühungen konnte er im wettbewerbsintensiven Verkaufsumfeld nicht mithalten.,Mit einem stumpfen Messer konnte sie den Senf für ihr Sandwich nicht schneiden.,לא הצלחתי לעמוד בציפיות / להתאים למצב,"למרות המאמצים שלו, הוא לא הצליח להתמודד בסביבת המכירות התחרותית."
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,"By revealing company secrets, he [[cut his own throat]] and ruined his career","While shaving, he accidentally [[cut his own throat]] with the razor","By revealing company secrets, he cut his own throat and ruined his career","While shaving, he accidentally cut his own throat with the razor",cut his own throat,schnitt sich selbst die Kehle durch,"Indem er Firmengeheimnisse offenbart hat, hat er sich selbst ins Knie geschossen und seine Karriere ruiniert.","Während er sich rasierte, schnitt er sich versehentlich mit dem Rasiermesser die Kehle auf.",גזר את הגרון שלו.,"על ידי חשיפת סודות החברה, הוא חתך את הגרון שלו והרס את הקריירה שלו."
