idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt
flesh and blood,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood.",I couldn't believe [[my own flesh and blood]] would betray me like that,The horror movie showed a scene where [[my own flesh and blood]] was exposed after a terrible accident,I couldn't believe my own flesh and blood would betray me like that,The horror movie showed a scene where my own flesh and blood was exposed after a terrible accident,my own flesh and blood,"A horror film egy jelenetet mutatott, ahol saját húgom és vérem volt látható egy szörnyű baleset után."
foam at the mouth,be extremely angry,He [[was foaming at the mouth]] when he found out about the betrayal,The rabid dog [[was foaming at the mouth]] and needed to be isolated,He was foaming at the mouth when he found out about the betrayal,The rabid dog was foaming at the mouth and needed to be isolated,was foaming at the mouth,Az őrjöngő kutya habzott a szájából és el kellett különíteni.
foot in the door,succeed with a first step.,"By volunteering at the company, she [[got a foot in the door]] for a full-time position","When the door was closing, he quickly [[got a foot in the door]] to prevent it from shutting","By volunteering at the company, she got a foot in the door for a full-time position","When the door was closing, he quickly got a foot in the door to prevent it from shutting",got a foot in the door,"Amikor az ajtó becsukódott, gyorsan betette a lábát az ajtóba, hogy megakadályozza az becsukódását."
from A to Z,comprehensive,She studied the subject so thoroughly that she [[learned it from A to Z]],The alphabet book helped the child [[learned it from A to Z]],She studied the subject so thoroughly that she learned it from A to Z,The alphabet book helped the child learned it from A to Z,learned it from A to Z,Az ábécé könyv segített a gyereknek megtanulni az A-tól a Z-ig.
full of beans,to be optimistic or enthusiastic,"After a good night's sleep, he [[seemed full of beans]] and ready to tackle the day",The bag [[seemed full of beans]] as it bulged and weighed heavily in her hand,"After a good night's sleep, he seemed full of beans and ready to tackle the day",The bag seemed full of beans as it bulged and weighed heavily in her hand,seemed full of beans,"A táska babokkal telinek tűnt, mivel kidudorodott és nehéz volt a kezében."
get hitched,to get married,"After dating for five years, [[they decided to get hitched]] and start a family","During their road trip, [[they decided to get hitched]] to a trailer for extra storage","After dating for five years, they decided to get hitched and start a family","During their road trip, they decided to get hitched to a trailer for extra storage",they decided to get hitched,"Az útjuk során úgy döntöttek, hogy felszerelnek egy pótkocsit, hogy több tárolóhelyük legyen."
get one's feet wet,to begin taking part in a new activity,[[They got their feet wet]] by starting with a small project before tackling the big one,[[They got their feet wet]] when they accidentally stepped into a puddle,They got their feet wet by starting with a small project before tackling the big one,They got their feet wet when they accidentally stepped into a puddle,They got their feet wet,"A lábukat eláztatták, amikor véletlenül beleléptek egy pocsolyába."
get out of bed on the wrong side,be very irritable and grouchy,"He was so grumpy today, it seemed like he [[got out of bed on the wrong side]]","Due to the rearrangement of his room, he accidentally [[got out of bed on the wrong side]] and bumped into the wall","He was so grumpy today, it seemed like he got out of bed on the wrong side","Due to the rearrangement of his room, he accidentally got out of bed on the wrong side and bumped into the wall",got out of bed on the wrong side,"A szobája átrendezése miatt véletlenül a rossz oldalról kelt fel az ágyból, és nekiütközött a falnak."
get the sack,be dismissed from the job,[[She got the sack from the company]] after failing to meet her sales targets,[[She got the sack from the company]] to carry her groceries home,She got the sack from the company after failing to meet her sales targets,She got the sack from the company to carry her groceries home,She got the sack from the company,"Őt kirúgták a cégtől, hogy hazavigye az élelmiszereit."
get the wrong end of the stick,to understand something in the wrong way,He misunderstood the situation and [[got the wrong end of the stick]],"While trying to pick up the stick, he accidentally [[got the wrong end of the stick]] covered in mud",He misunderstood the situation and got the wrong end of the stick,"While trying to pick up the stick, he accidentally got the wrong end of the stick covered in mud",got the wrong end of the stick,"Miközben megpróbálta felvenni a botot, véletlenül a bot rossz végét ragadta meg, amely sárral volt borítva."
get your goat,irritate somebody,His constant teasing finally [[got your goat]] and made you angry,The farmer [[got your goat]] from the pen and brought it to you,His constant teasing finally got your goat and made you angry,The farmer got your goat from the pen and brought it to you,got your goat,A gazda kivette a kecskédet az istállóból és elhozta neked.
