idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt,p_f_ko_gpt,p_l_ko_gpt,p_f_es_gpt,p_l_es_gpt,p_a_yo_gpt,p_f_yo_gpt
feather in your cap,It means to have an achievement in your name.,Winning the championship would be [[a feather in your cap]],The hat you're wearing has [[a feather in your cap]] as a decoration,Winning the championship would be a feather in your cap,The hat you're wearing has a feather in your cap as a decoration,a feather in your cap,"Az a kalap, amit viselsz, tollal van díszítve a sapkádon.",당신의 모자에 깃털 하나,챔피언십 우승은 당신의 자존심에 큰 자랑거리가 될 것입니다.,당신이 쓰고 있는 모자에는 장식용 깃털이 있습니다.,Ganar el campeonato sería un logro para ti.,El sombrero que estás usando tiene una pluma en la gorra como decoración.,ori agbelebu ni oruko re.,Iseju kan ni ogo fun o lati jẹ oniṣẹ ọrọpọ.
feather one's (own) nest,"If you say that you are feathering your own nest, you mean that you are working so hard to gather resources (money) to live a comfortable life in the future.",She was accused of [[feathering her own nest]] by taking bribes,The bird was [[feathering her own nest]] with soft materials to make it cozy,She was accused of feathering her own nest by taking bribes,The bird was feathering her own nest with soft materials to make it cozy,feathering her own nest,"A madár puha anyagokkal bélelte ki a saját fészkét, hogy otthonosabb legyen.",그녀는 자신의 둥지를 꾸미고 있다.,그녀는 뇌물을 받아 자신의 이익을 챙기려고 했다는 혐의를 받았다.,새는 부드러운 소재로 자신의 둥지를 깔아 편안하게 만들고 있었다.,Ella fue acusada de llenar su propio nido aceptando sobornos.,El pájaro estaba forrando su propio nido con materiales suaves para hacerlo acogedor.,ti o ba nṣe ohun ti o dara lati ṣe igbó ti o jẹ́ ọrẹ rẹ.,O ti aṣẹ fun ọrọ ẹni rẹ nitori o ti gba ọwo.
feel the pinch,experience financial hardship,"After losing his job, [[he started to feel the pinch]] financially","When the crab grabbed his finger, [[he started to feel the pinch]]","After losing his job, he started to feel the pinch financially","When the crab grabbed his finger, he started to feel the pinch",he started to feel the pinch,"Amikor a rák megragadta az ujját, elkezdte érezni a csípést.",그는 어려움을 느끼기 시작했다.,"일자리를 잃은 후, 그는 재정적으로 타격을 받기 시작했다.",게가 그의 손가락을 잡자 그는 아프기 시작했다.,"Después de perder su trabajo, empezó a sentir el apretón financiero.","Cuando el cangrejo agarró su dedo, empezó a sentir el pellizco.",O ti bẹrẹ si ni ọrọ ọrẹ.,"Lati owo ijoba rẹ ti o gbe, o bẹrẹ si ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan ni ọkan."
feet of clay,have a flaw or weakness most people are unaware of.,"Despite his confident demeanor, he [[had feet of clay]] when it came to public speaking",The statue [[had feet of clay]] as part of its unique design,"Despite his confident demeanor, he had feet of clay when it came to public speaking",The statue had feet of clay as part of its unique design,had feet of clay,"A szobornak agyaglábai voltak, mint része a sajátos tervezésének.",점토 발을 가졌다.,"그는 자신감 넘치는 태도를 보이지만, 대중 연설에 관해서는 발이 떨리는 모습을 보였다.",그 조각상은 독특한 디자인의 일환으로 점토 발을 가지고 있었다.,"A pesar de su actitud segura, tenía pies de barro cuando se trataba de hablar en público.",La estatua tenía pies de arcilla como parte de su diseño único.,ko si ohun tó bá ni èèyàn ni gbogbo ènìyàn.,"Nitorina awọn ọrọ ọrọ rẹ ti o ni aṣayan ti o jẹ ọkàn ọkàn, o ni awọn eti ẹrọ ti o jẹ ni ọjọgbọn."
fiddle while Rome burns,to perform an inconsequential task or act irresponsibly in the midst of a disastrous event.,He [[fiddled while Rome burned]] by playing video games during the company crisis,The musician [[fiddled while Rome burned]] as he was unaware of the fire,He fiddled while Rome burned by playing video games during the company crisis,The musician fiddled while Rome burned as he was unaware of the fire,fiddled while Rome burned,"A zenész hegedült, miközben Róma égett, mivel nem volt tudatában a tűznek.",로마가 타는 동안 바이올린을 연주했다.,그는 회사 위기 동안 비디오 게임을 하며 로마가 타는 것을 바라보았다.,음악가는 화재를 모르고 있었기 때문에 로마가 타는 동안 바이올린을 연주했다.,Él tocaba el violín mientras Roma ardía al jugar videojuegos durante la crisis de la empresa.,"El músico tocaba el violín mientras Roma ardía, ya que no era consciente del fuego.",ọmọde ti fẹsẹ̀kẹ̀kẹ̀ nítorí Ìlú Rómù ti kòkòrò níbẹ.,O nsope nipa awọn video games ni ojojumọ ti odo agbala ti o wa ni odo agbala.
fill the bill,be exactly suitable for a particular situation,The new employee [[filled the bill perfectly]] for the position we needed,The waiter [[filled the bill perfectly]] with all the items we ordered,The new employee filled the bill perfectly for the position we needed,The waiter filled the bill perfectly with all the items we ordered,filled the bill perfectly,A pincér tökéletesen kitöltötte a számlát az összes rendelt tétellel.,완벽하게 요구사항을 충족시켰습니다.,새로운 직원은 우리가 필요한 직책에 완벽하게 부합했습니다.,웨이터는 우리가 주문한 모든 항목을 완벽하게 청구서에 채웠습니다.,El nuevo empleado cumplió perfectamente con el perfil que necesitábamos para el puesto.,El camarero llenó la cuenta perfectamente con todos los artículos que pedimos.,ti o si ni owo yii ni o si ni ayipada ti o dara ju.,Omo-iṣẹ tuntun ti ṣe iṣẹ yii ni o ti ṣe iṣẹ kan ti a nilo ni ibeere yii.
fingers and thumbs,to be clumsy and not very skilled with your hands,"When it comes to knitting, I'm [[all fingers and thumbs]]",The hand puppet was [[all fingers and thumbs]] with no other features,"When it comes to knitting, I'm all fingers and thumbs",The hand puppet was all fingers and thumbs with no other features,all fingers and thumbs,"A kézibáb ujjakból és ujjhegyekből állt, más jellemzők nélkül.",모든 손가락이 둔한,"뜨개질에 관해서는, 나는 모든 손가락과 엄지 손가락이 불편해요.",손 인형은 다른 특징 없이 모두 손가락과 엄지 손가락이었습니다.,"Cuando se trata de tejer, soy todo dedos y pulgares.",El títere de mano era todo dedos y pulgares sin otras características.,gbogbo etí ọkàn ati ọkàn ọwọ.,"Nitorina lati fi owo ori irin, mo ni owo ati eti gbogbo."
flash in the pan,"something that cannot be repeated, usually a positive concept","His sudden success turned out to be [[a flash in the pan]], as he couldn't maintain it","The oil caught fire, creating [[a flash in the pan]] while she was cooking","His sudden success turned out to be a flash in the pan, as he couldn't maintain it","The oil caught fire, creating a flash in the pan while she was cooking",a flash in the pan,"Az olaj kigyulladt, villanást okozva a serpenyőben, miközben főzött.",번갈아 가며 번쩍이는 것,"그의 갑작스러운 성공은 일시적인 것으로 밝혀졌으며, 그는 유지할 수 없었습니다.",그녀가 요리를 하던 중 기름이 불을 붙여 팬에서 번쩍이게 되었다.,"Su repentino éxito resultó ser algo pasajero, ya que no pudo mantenerlo.","El aceite se incendió, creando una llamarada en la sartén mientras ella cocinaba.",ọkọlọtọ ni ọkan.,"Igba alaabo rẹ ni ojulowo ti o wa ni ọna, nitori o ko le gbe ni."
flesh and blood,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood.",I couldn't believe [[my own flesh and blood]] would betray me like that,The horror movie showed a scene where [[my own flesh and blood]] was exposed after a terrible accident,I couldn't believe my own flesh and blood would betray me like that,The horror movie showed a scene where my own flesh and blood was exposed after a terrible accident,my own flesh and blood,"A horror film egy jelenetet mutatott, ahol saját húgom és vérem volt látható egy szörnyű baleset után.",나의 자신의 살과 피,나는 내 고유의 혈육이 그렇게 나를 배신할 줄은 믿을 수 없었다.,호러 영화에서는 끔찍한 사고 후 내 자신의 살과 피가 노출된 장면이 나왔습니다.,No podía creer que mi propia carne y sangre me traicionara así.,La película de terror mostró una escena donde mi propia carne y sangre quedó expuesta después de un terrible accidente.,omo mi ni irun ori mi.,Mio le gbagbe wipe omi oju mi ati omi omo mi yio fi mi sile ni o waye yii.
foam at the mouth,be extremely angry,He [[was foaming at the mouth]] when he found out about the betrayal,The rabid dog [[was foaming at the mouth]] and needed to be isolated,He was foaming at the mouth when he found out about the betrayal,The rabid dog was foaming at the mouth and needed to be isolated,was foaming at the mouth,Az őrjöngő kutya habzott a szájából és el kellett különíteni.,입에서 거품이 나왔다.,그는 배신을 알게 되자 입에서 거품이 나왔다.,광란의 개는 입에서 거품을 물고 격리되어야 했다.,Estaba echando espuma por la boca cuando se enteró de la traición.,El perro rabioso estaba espumando por la boca y necesitaba ser aislado.,ko si inu eru efo.,O ti ní òkùnrin òkunrin lókè lókè ní ìpè tó bá mọ̀ pé ìyáwó rẹ̀ ti bẹ̀rẹ̀.
foot in the door,succeed with a first step.,"By volunteering at the company, she [[got a foot in the door]] for a full-time position","When the door was closing, he quickly [[got a foot in the door]] to prevent it from shutting","By volunteering at the company, she got a foot in the door for a full-time position","When the door was closing, he quickly got a foot in the door to prevent it from shutting",got a foot in the door,"Amikor az ajtó becsukódott, gyorsan betette a lábát az ajtóba, hogy megakadályozza az becsukódását.",문을 열어놓은 상태다.,그녀는 회사에서 자원 봉사를 함으로써 정규직 포지션에 발을 들였다.,"문이 닫히려 할 때, 그는 문이 닫히는 것을 막기 위해 빠르게 발을 문 사이에 넣었다.","Al hacer trabajo voluntario en la empresa, ella consiguió una oportunidad para un puesto de tiempo completo.","Cuando la puerta se estaba cerrando, rápidamente metió un pie en la puerta para evitar que se cerrara.",kí a wòn lèrò ní ìlè-ìwé.,"Nitori o fi gba ise alabara ni kọmpani yii, o gba ọkan ninu awọn iṣẹ ti o le jẹ iṣẹ alabara ti o jẹ ni ojulowo."
from A to Z,comprehensive,She studied the subject so thoroughly that she [[learned it from A to Z]],The alphabet book helped the child [[learned it from A to Z]],She studied the subject so thoroughly that she learned it from A to Z,The alphabet book helped the child learned it from A to Z,learned it from A to Z,Az ábécé könyv segített a gyereknek megtanulni az A-tól a Z-ig.,A부터 Z까지 배웠습니다.,그녀는 그 주제를 깊이 있게 공부해서 A부터 Z까지 모두 배웠습니다.,알파벳 책은 그 아이가 A부터 Z까지 배우는 데 도움이 되었습니다.,Ella estudió el tema tan a fondo que lo aprendió de la A a la Z.,El libro del alfabeto ayudó al niño a aprenderlo de la A a la Z.,Mo mọ nipa ni A si Z.,"O ti nko awọn ohun tó tọ, nitori ẹ ti kọ ni lati A titi Z."
full of beans,to be optimistic or enthusiastic,"After a good night's sleep, he [[seemed full of beans]] and ready to tackle the day",The bag [[seemed full of beans]] as it bulged and weighed heavily in her hand,"After a good night's sleep, he seemed full of beans and ready to tackle the day",The bag seemed full of beans as it bulged and weighed heavily in her hand,seemed full of beans,"A táska babokkal telinek tűnt, mivel kidudorodott és nehéz volt a kezében.",보리가 가득한 것 같았다.,"잠을 충분히 잔 후, 그는 활기차게 하루를 시작할 준비가 되어 보였다.",그녀의 손에 무거워 보이며 부풀어 오른 콩으로 가득 찬 가방이었다.,"Después de una buena noche de sueño, parecía lleno de energía y listo para enfrentar el día.",La bolsa parecía llena de frijoles ya que abultaba y pesaba mucho en su mano.,Seems full of beans - N beere pupa pupa.,"Lẹhin iranlọwọ alẹ, o jẹ alawọ fere ati ti wa lati ṣe iṣẹ lọ."
