idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt,p_f_ko_gpt
cup of tea,to like something,"Skydiving is [[not my cup of tea]], I prefer calmer activities","This green tea is [[not my cup of tea]], I ordered black tea","Skydiving is not my cup of tea, I prefer calmer activities","This green tea is not my cup of tea, I ordered black tea",not my cup of tea,"Ez a zöld tea nem az én ízlésem, fekete teát rendeltem.",내 취향은 아니야.,"스카이다이빙은 내 취향이 아니고, 나는 더 조용한 활동을 선호합니다."
cut and dried,ready-made,"With her impressive qualifications, it was [[a cut and dried decision]] to hire her",The process of making fruit leather involves [[a cut and dried decision]] with the fruit,"With her impressive qualifications, it was a cut and dried decision to hire her",The process of making fruit leather involves a cut and dried decision with the fruit,a cut and dried decision,A gyümölcsbőr készítési folyamata magában foglal egy vágott és szárított döntést a gyümölccsel kapcsolatban.,잘 정리된 결정,"그녀의 인상적인 자격증으로 인하여, 그녀를 고용하는 것은 확실한 결정이었다."
cut coat according to cloth,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",They [[cut their coat according to their cloth]] by living within their means,The tailor [[cut their coat according to their cloth]] to avoid wasting fabric,They cut their coat according to their cloth by living within their means,The tailor cut their coat according to their cloth to avoid wasting fabric,cut their coat according to their cloth,"A szabó a ruhát az anyaguknak megfelelően vágta, hogy elkerülje az anyagpazarlást.",그들의 천에 맞게 옷을 자르다.,그들은 자신들의 소득에 맞게 생활하여 자신들의 옷감에 맞게 자르고 있습니다.
cut corners,"economise on time, money, materials or effort, perhaps unwisely","To save time and money, they [[cut corners on the project]] by using cheaper materials",The carpenter [[cut corners on the project]] to create a rounded shape,"To save time and money, they cut corners on the project by using cheaper materials",The carpenter cut corners on the project to create a rounded shape,cut corners on the project,"A asztalos sarkokat vágott a projekt során, hogy kerek formát hozzon létre.",프로젝트에서 꼼수를 부리다.,"시간과 돈을 절약하기 위해, 그들은 더 싼 재료를 사용하여 프로젝트에서 꼼수를 부렸다."
cut the cord,to end a connection with someone,He decided to [[cut the cord with her]] and end their toxic relationship,The nurse [[cut the cord with her]] after the baby was born,He decided to cut the cord with her and end their toxic relationship,The nurse cut the cord with her after the baby was born,cut the cord with her,Az ápolónő levágta a köldökzsinórt a baba születése után.,그녀와의 인연을 끊어라.,그는 그녀와의 관계를 끊고 독한 관계를 끝내기로 결정했다.
cut the mustard,to succeed,"Despite his efforts, he [[couldn't cut the mustard]] in the competitive sales environment","With a dull knife, she [[couldn't cut the mustard]] for her sandwich","Despite his efforts, he couldn't cut the mustard in the competitive sales environment","With a dull knife, she couldn't cut the mustard for her sandwich",couldn't cut the mustard,Egy tompa késsel nem tudta felvágni a mustárt a szendvicséhez.,"""좋은 성과를 내지 못하다""","그의 노력에도 불구하고, 경쟁적인 판매 환경에서 그는 성과를 내지 못했다."
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,"By revealing company secrets, he [[cut his own throat]] and ruined his career","While shaving, he accidentally [[cut his own throat]] with the razor","By revealing company secrets, he cut his own throat and ruined his career","While shaving, he accidentally cut his own throat with the razor",cut his own throat,"Amikor borotválkozott, véletlenül elvágta a saját torkát a borotvával.",그는 자신의 목을 베었다.,그는 회사 기밀을 폭로함으로써 자신의 목숨을 베고 자신의 경력을 망쳤다.
dance to tune,to do what someone else forces you to do,He always [[danced to the tune]] of his boss's demands,"At the party, they [[danced to the tune]] of their favorite song",He always danced to the tune of his boss's demands,"At the party, they danced to the tune of their favorite song",danced to the tune,A bulin a kedvenc dalukra táncoltak.,곡에 맞춰 춤을 춘다.,그는 항상 상사의 요구에 맞춰 춤을 추었습니다.
dancing on their grave,outlive or outlast someone and celebrate their demise,He was so happy about his rival's failure that he was practically [[dancing on their grave]],The disrespectful teenagers were caught [[dancing on their grave]] in the cemetery,He was so happy about his rival's failure that he was practically dancing on their grave,The disrespectful teenagers were caught dancing on their grave in the cemetery,dancing on their grave,"A tiszteletlen tinédzsereket rajtakapták, amint a temetőben a sírjukon táncoltak.",그들의 무덤 위에서 춤을 춘다.,그는 경쟁자의 실패에 대해 너무나 기뻐해서 그들의 무덤 위에서 춤추고 있는 것 같았다.
dead duck,a project or scheme which has been abandoned or is certain to fail,"Without any support, he was [[a dead duck in the situation]] and couldn't succeed",The hunter shot down [[a dead duck in the situation]] and retrieved it,"Without any support, he was a dead duck in the situation and couldn't succeed",The hunter shot down a dead duck in the situation and retrieved it,a dead duck in the situation,"A vadász lelőtt egy holt kacsát a helyzetben, majd visszaszerezte azt.",상황에서 죽은 오리,어떤 지원도 없이 그는 상황에서 죽은 오리가 되어 성공할 수 없었다.
dead in the water,unable to produce movement,The project was [[found it dead in the water]] after the funding was cut,The fisherman [[found it dead in the water]] while he was out on the lake,The project was found it dead in the water after the funding was cut,The fisherman found it dead in the water while he was out on the lake,found it dead in the water,"A halász holtan találta a vízben, amikor kint volt a tónál.",물에 떠 있는 채로 죽어 있었다.,자금이 삭감된 후 프로젝트는 물에 빠져 실패했다.
deep down,felt strongly and often hidden from other people,He knew [[deep down in the ocean]] of his heart that he had made the right decision,The divers explored the shipwreck [[deep down in the ocean]],He knew deep down in the ocean of his heart that he had made the right decision,The divers explored the shipwreck deep down in the ocean,deep down in the ocean,A búvárok felfedezték a hajóroncsot mélyen az óceánban.,해저 깊숙한 곳에서,그는 마음의 바다 깊숙한 곳에서 옳은 결정을 내렸다는 것을 알고 있었다.
