idiom_set,idiom_EPIE,meaning_EPIE,example_EPIE,tag_EPIE,idiom_dictionary,meaning_dictionary,example_dictionary,idiom_bookcorpus,meaning_bookcorpus
frozenset({'clover'}),,,,,in a clover,"ing: prosperous, living well. Example: After we earn a million in our new business of gold, we'll hopefully be in a cloverExample: ing: prosperous, living well. ","After we earn a million in our new business of gold, we'll hopefully be in a cloverExample: ing: prosperous, living well. Example: After we earn a million in our new business of gold, we'll hopefully be in a cloverRead on",,
"frozenset({'dri', 'cut'})",,,,,cut and dried,ready-made,The rules in our school are cut and dried. Everyone is expected to follow them.,,
frozenset({'core'}),,,,,to the core,totally,"Stella's plan was rotten to the core, it would not work in today's world.",,
"frozenset({'la', 'creme', 'de'})",,,,,creme de la creme,to be exclusive,The children of the crème de la crème crowd go to this school. Needless to say that it is among the costliest in town.,,
frozenset({'cash'}),,,,,cash in,to earn out of something in big amounts,He has cashed in on the estate that his father created. I do not believe he has anything to call his own out there.,,
"frozenset({'head', 'cloud'})",,,,,head in the clouds,daydreaming or absentminded,He roams around all night with his head in the clouds.,,
"frozenset({'channel', 'through', 'go'})",,,,,go through channels,to follow the correct steps in order to get something done,If you want to get a new licence you will have to go through the proper channels. Otherwise it will not be legal.,,
"frozenset({'pretti', 'pass', 'come'})",,,,,come to a pretty pass,a bad situation,Things have come to such a pretty pass that nowadays parents are afraid of advising their children.,,
frozenset({'cave'}),,,,,cave in,"to fall for something, either literally or metaphorically",The building caved in by itself after being erect for almost 70 years.,,
frozenset({'dot'}),,,,,on the dot,exactly on time,We were asked to be there at five on the dot.,,
"frozenset({'drab', 'drib'})",,,,,dribs and drabs,in small irregular quantities,The checks for the charity are coming in dribs and drabs.,,
"frozenset({'poppi', 'tall'})",,,,,tall poppy,a privileged or distinguished person.,Recently a party was hosted in the city where all the tall poppies were invited to raise charity for clean shelters in suburbs.,,
"frozenset({'count', 'befor', 'hatch', 'chicken'})",,,,,don't count your chickens before they hatch,do not count on something that has not yet happened,"Before committing to make the payment, wait till you receive the money from the bank. Don't count your chickens before they hatch.",,
"frozenset({'advoc', 'devil'})",,,,,devil's advocate,one who presents a counter argument,"I agree with what you say, but I'll play devil's advocate so that we can cover all the possibilities that may arise.",,
"frozenset({'day', 'job', 'up', 'give'})",,,,,don't give up the day job,a usually humorous way of telling someone not to pursue something full time as he or she is not good at it,I watched your performance at the theater today. My advice is don't give up your day job.,,
"frozenset({'call', 'time', 'drastic', 'measur'})",,,,,drastic times call for drastic measures,extreme circumstances can only be resolved by equally extreme actions,"After the company had posted losses for the third consecutive year, the board decided to replace all of its top management. After all, drastic times call for drastic measures.",,
"frozenset({'egg', 'one', 'basket', 'all', 'put'})",,,,,don't put all your eggs in one basket,don't make everything dependent on one thing,It would be better if you applied to several companies instead of just one; don't put all your eggs in one basket.,,
"frozenset({'hear', 'grapevin'})",,,,,hear on the grapevine,to hear rumours about something,"I heard on the grapevine that he was being promoted, but I don't know anything further.",,
"frozenset({'cri', 'far'})",,,,,far cry from,something that is very different from something else,The apartment they live in now is a far cry from the huge mansion they once used to have.,,
"frozenset({'viper', 'bosom'})",,,,,viper in bosom,a person who deceives you after receiving help from you,I got my friend a good position in my company and all he did is convinced my manager to get him the designation I had in the project. He was no more than a viper in my bosom.,,
"frozenset({'necess', 'virtu', 'make'})",,,,,make a virtue of necessity,extract something beneficial from an unwelcome obligation,It's was a long journey from Delhi to Australia so I thought I would make a virtue of necessity and write some articles that had to be submitted to the magazines.,,
"frozenset({'off', 'warn'})",,,,,warn off,inform someone forcefully to stay at a distance,The board was placed near the manhole to warn off the kids from playing there.,,
"frozenset({'hand', 'wash'})",,,,,wash hands of,abandon taking responsibility for someone or something,That job did no good to me. I washed my hands of it few months back and joined another one.,,
"frozenset({'take', 'tango', 'two'})",,,,,takes two to tango,certain actions or activities cannot be performed alone - they  need two people to participate,Don't blame me for the argument. It takes two to tango! You are equally responsible.,,
"frozenset({'act', 'balanc'})",,,,,balancing act,an action that needs a fine balance between different conditions or wishes,A working woman in our country has to constantly perform a balancing act between excelling in her career and taking care of the family.,,
"frozenset({'kill', 'two', 'one', 'bird', 'stone'})",,,,,kill two birds with one stone,accomplish two different things at the same time,"I have to go to the bank, and on the way back, I'll pick up the groceries as well, killing two birds with one stone.",,
"frozenset({'rack', 'manger', 'live'})",,,,,live at rack and manger,in between plenty and abundance,He is been living at rack and manger since the time he joined his new job as a manager.,,
"frozenset({'vive', 'qui'})",,,,,qui vive,on the alert or lookout.,Their duty requires most of the soldiers to be on the qui vive at the Siachen of Kashmir India battlefield.,,
"frozenset({'queensberri', 'rule'})",,,,,Queensberry rules,standard rules of polite or acceptable behavior,It was ensured by the police that both the parties adhered to the Queensberry rules during their hearing session in the high court.,,
"frozenset({'ear', 'all'})",,,,,all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,Kids in my class were all ears when I was telling them the story.,,
"frozenset({'method', 'mad'})",,,,,method to madness,a purpose in doing something that is seemingly crazy,"You may be thinking that I have gone crazy, but there's a method to my madness.",,
"frozenset({'stori', 'make', 'long', 'short'})",,,,,make a long story short,abbreviate a long explanation into a short one,"To make a long story short, he still stays in the apartment but now it is owned by someone else.",,
"frozenset({'sit', 'fenc'})",,,,,sit on the fence,delay or avoid making a decision or choice,Has he decided which offer he is going to accept or is he still sitting on the fence?,sit on the fence,to avoid taking sides in a discussion or argument
"frozenset({'worth', 'thousand', 'word', 'pictur'})",,,,,a picture is worth a thousand words,a picture conveys information more effectively than words,"A good presentation should contain more of graphics and less of text, since a picture is worth a thousand words.",,
"frozenset({'play', 'deck', 'full'})",,,,,not playing with a full deck,not mentally sound,"With the number of silly remarks he comes up with, I wonder if he's not playing with a full deck.",,
"frozenset({'rag', 'part', 'brass'})",,,,,part brass rags,quarrel and break off friendship with someone,Both of them parted off rags with each other after a misunderstanding between them due to the other person.,,
"frozenset({'raft', 'whole'})",,,,,a whole raft of,a large collection of something,A whole raft of techniques was used during the presentation in the annual meeting.,,
"frozenset({'devil', 'speak'})",,,,,speak of the devil,when someone comes in unexpectedly while being talked about,"We were huddled together in our lunch table, talking about our boss, when he walked in. Well, speak of the devil!",,
