idiom,meaning,example,source,dupl,idiom_set,idiom_EPIE,meaning_EPIE,example_EPIE,tag_EPIE,idiom_dictionary,meaning_dictionary,example_dictionary,idiom_bookcorpus,meaning_bookcorpus
keep at bay,to keep someone or something away or at a distance.,"Prince Rupert managed to fight his way towards London and having reached Brentford , he decided to try to capture London and whilst his troops were encamped on Kew Green , they learned from a maid from a riverside inn ( The Bull ) that Oliver Cromwell was holding a council of war there , so he despatched some horsemen to capture Cromwell , but the ‘ Round Heads ’ kept the horsemen at bay until Cromwell had escaped in a boat to the island in the river closeby , which island has been called ‘ Oliver Isle ’ ever since .",EPIE,0,"frozenset({'bay', 'keep'})",keep at bay,to keep someone or something away or at a distance.,"Prince Rupert managed to fight his way towards London and having reached Brentford , he decided to try to capture London and whilst his troops were encamped on Kew Green , they learned from a maid from a riverside inn ( The Bull ) that Oliver Cromwell was holding a council of war there , so he despatched some horsemen to capture Cromwell , but the ‘ Round Heads ’ kept the horsemen at bay until Cromwell had escaped in a boat to the island in the river closeby , which island has been called ‘ Oliver Isle ’ ever since .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
name [pron] day,a day when someone is celebrated or honored.,"Earlier yesterday , Inkatha and the Kwazulu black homeland government submitted a memorandum saying that negotiators should debate federalism , violence and other constitutional principles before naming the day for the country 's first all-race election .",EPIE,0,"frozenset({'day', 'name'})",name [pron] day,a day when someone is celebrated or honored.,"Earlier yesterday , Inkatha and the Kwazulu black homeland government submitted a memorandum saying that negotiators should debate federalism , violence and other constitutional principles before naming the day for the country 's first all-race election .",O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O,,,,,
lose [pron] shirt,to suffer a great financial loss.,"One version of the story has Massaccio losing all of his clothes as well , which not only adds a new possibility to the origin of the saying ‘ to lose your shirt ’ , but also a certain piquancy to the vision of the gambler outside the church .",EPIE,0,"frozenset({'shirt', 'lose'})",lose [pron] shirt,to suffer a great financial loss.,"One version of the story has Massaccio losing all of his clothes as well , which not only adds a new possibility to the origin of the saying ‘ to lose your shirt ’ , but also a certain piquancy to the vision of the gambler outside the church .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O,,,,,
money talks,wealth and power can influence decisions and outcomes.,"But usually money talks in football , no matter what the club , and if United do raise their bid , Wednesday — despite their protestations — may find it hard to resist .",EPIE,0,"frozenset({'money', 'talk'})",money talks,wealth and power can influence decisions and outcomes.,"But usually money talks in football , no matter what the club , and if United do raise their bid , Wednesday — despite their protestations — may find it hard to resist .",O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
money for old rope,making money easily with little effort.,"Apart from passing regret at the thought of losing so much money for old rope , my immediate reaction was to compare the fee for writing a letter of consent with what my 47 years of toil in journalism will soon produce by way of a pension .",EPIE,0,"frozenset({'old', 'money', 'rope'})",money for old rope,making money easily with little effort.,"Apart from passing regret at the thought of losing so much money for old rope , my immediate reaction was to compare the fee for writing a letter of consent with what my 47 years of toil in journalism will soon produce by way of a pension .",O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
middle of the road,"a moderate or non-committal approach to something, avoiding extremes.","A great deal of money does go to preserving those companies like the National , the Royal Shakespeare , etc. , and even in this region we have three regional repertory theatres who generally present very establishment shows , very middle of the road productions .",EPIE,0,"frozenset({'middl', 'road'})",middle of the road,"a moderate or non-committal approach to something, avoiding extremes.","A great deal of money does go to preserving those companies like the National , the Royal Shakespeare , etc. , and even in this region we have three regional repertory theatres who generally present very establishment shows , very middle of the road productions .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O,,,,,
men in suits,people in positions of power or authority.,"As the morning traffic builds up on the A49 they are rewarded with constant beeps of support from truckers , bus drivers , ordinary motorists and men in suits driving expensive company cars .",EPIE,0,"frozenset({'men', 'suit'})",men in suits,people in positions of power or authority.,"As the morning traffic builds up on the A49 they are rewarded with constant beeps of support from truckers , bus drivers , ordinary motorists and men in suits driving expensive company cars .",O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O,,,,,
meet [pron] waterloo,experience a complete and total defeat or failure.,"In fact I 'm a very lucky man , you know , I can love them and leave them all except one , all except one , you have al you have always , you have always got to meet your Waterloo have not you eh ?",EPIE,0,"frozenset({'meet', 'waterloo'})",meet [pron] waterloo,experience a complete and total defeat or failure.,"In fact I 'm a very lucky man , you know , I can love them and leave them all except one , all except one , you have al you have always , you have always got to meet your Waterloo have not you eh ?",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O,,,,,
mea culpa,an expression of apology or regret for a mistake or wrong-doing.,"Mea culpa , mea culpa , said Preston to himself , as he had said aloud as a child at Mass with neither thought nor understanding then , mea maxima culpa .",EPIE,0,"frozenset({'culpa', 'mea'})",mea culpa,an expression of apology or regret for a mistake or wrong-doing.,"Mea culpa , mea culpa , said Preston to himself , as he had said aloud as a child at Mass with neither thought nor understanding then , mea maxima culpa .",O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
many happy returns,wishing someone a happy birthday.,"Washbrook , the four-square and fearless warrior with the faded , jaunty-peaked , blue cap of both Lancashire and England , was 75 on Wednesday , the day I dared my many happy returns , and still as robust , hale and healthy as ever .",EPIE,0,"frozenset({'return', 'happi', 'mani'})",many happy returns,wishing someone a happy birthday.,"Washbrook , the four-square and fearless warrior with the faded , jaunty-peaked , blue cap of both Lancashire and England , was 75 on Wednesday , the day I dared my many happy returns , and still as robust , hale and healthy as ever .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O,,,,,
