idiom,meaning
年富力强,in the prime of life; in one's prime
年高德劭,of venerable age and eminent virtue; venerable in age and character
年轻力壮,young and vigorous; 
年深日久,with the passage of time; as the years go by
幸灾乐祸,pleased at the calamity of others; gloatingly
度日如年,one day seems to be as long as one year; days wear on like years
座无虚席,packed to capacity; no empty seat
康庄大道,main road; broad road
庸中佼佼,a giant among dwarfs; 
庸人自扰,make much ado about nothing; worry about troubles of one's own imagining
庸言庸行,commonplace words and deeds; 
废寝忘食,be much absorbed in work or study; so absorbed as to forget food and sleep
广开言路,encourage the free airing of views; 
庐山真面目,one's true colors; the truth about a person or matter
庞然大物,a huge monster; behemoth
延年益寿,prolong life; promise longevity
延颈企踵,crane the neck and stand on tiptoe; be on the very tiptoe of expectation
弄假成真,what was make-believe has become reality; fulfill what was promised in joke
弄巧成拙,try to be clever only to end up with a blunder; outsmart oneself
弄虚作假,resort to deception; employ trickery
引狼入室,invite a wolf into the house; set the wolf to keep the sheep
引吭高歌,sing heartily; sing joyfully in a loud voice
引火烧身,a self-destructive course of action; guide a fire to burn one's own body
引经据典,quote the classics; give quotations from classics or ancient works
引人注目,conspicuous; noticeable spectacle
引人入胜,alluring; tempting
引而不发,draw the bow but not discharge the arrow; draw the bow without shooting
引为鉴戒,take warning; serve as a warning
弦外之音,overtones; implication
弱不禁风,extremely delicate; fragile
弱不胜衣,too weak to bear the weight of the clothing; 
弱肉强食,the weak at the mercy of the strong; the great fish eat up the small
张灯结彩,decorate with lanterns and colored hangings; hang up lanterns and coloured bunting
张冠李戴,confuse one thing with another; fasten one person's story upon another person
张口结舌,be at a loss for words; stupefied
张皇失措,lose one's head; stand aghast
张三李四,"any Tom, Dick or Harry; anybody"
张牙舞爪,show one's fangs and claws; rampant
张弩之末,on the decline and no longer what it was; the furthest reach of a shot from a strong bow
强奸民意,defile public opinion; 
强将手下无弱兵,there are no poor soldiers under a good general; a capable commander leads an army of good soldiers
强中自有强中手,"however strong you are, there's always someone stronger; "
强人所难,try to make somebody do something which he won't or can't; constrain somebody to do things that are beyond his power
强词夺理,use lame arguments and perverted logic; captious
弹冠相庆,congratulated each other on the prospect of getting good appointments; preparing to start one's official life
弹尽粮绝,exhaust ammunition and food supplies; 
弹丸之地,a little country; a tiny place
弥天大谎,a monstrous lie; 
弥天大罪,monstrous crimes; crimes that make stones cry out
形单影只,extremely lonely; single
形迹可疑,not to be trusted; suspicious-looking
形形色色,of all shades; many varieties
形势逼人,the situation is pressing; the compelling force of circumstances
形影不离,never leave each other's side; always together
形影相吊,alone; friendless
彬彬有礼,in a civil manner; urbane
彰明较著,easily seen; very obvious
彼一时,"the times are different, not comparable; times have changed"
往返徒劳,run back and forth in vain; 
待价而沽,wait for the right price to sell; wait for the highest bid
待人接物,the way one gets along with people; 
后发制人,take action after; gain mastery by striking only after the enemy has struck
后来居上,the newcomers have outdone the old hands; catch up from behind
后浪推前浪,waves push waves; things develop ceaselessly with the new superseding the old
后顾之忧,fear of attack from behind; trouble back at home
后患无穷,source of endless trouble; no end of trouble for the future
后继有人,there is no lack of successors to carry on the cause; have qualified successors to the cause
后继无人,no qualified successor; none capable of continuing a given task
后起之秀,a promising young person; an up-and-coming youngster
后生可畏,a youth is to be regarded with respect; every oak has been an acorn
径情直行,as direct and smooth as one would wish; as smoothly as one would wish
徒劳无功,make a futile effort; flog a dead horse
得不偿失,the loss outweighs the gain; the game is not worth the candle
得道多助,a just cause enjoys abundant support while an unjust cause finds little support; a just cause bas many helpers while an unjust cause finds few followers
得天独厚,be richly endowed by nature; enjoy exceptional advantages
得陇望蜀,having got Kansu he aspires after Szechuan; much will have more
得过且过,muddle along; make shift with
得心应手,with facility; handy
得胜归来,return with flying colors; return in triumph
得寸进尺,"give him an inch and he'll take an ell; if you agree to carry the calf, they'll make you carry the cow"
得意忘形,get dizzy with success; complacent
得鱼忘筌,ungrateful; forget the things or conditions which bring one success
从长计议,take more time to consider it; give the matter further thought and discuss it later
从善如流,readily accept good advice; follow good advice as naturally as a river follows its course
从容不迫,with ease; leisurely
从容就义,meet one's fate calmly; meet one's death like a hero
循名责实,live up to its name; see that reality corresponds to claims or pretensions
循规蹈矩,follow the custom or law; observe due decorum
循序渐进,step by step; by stages
循循善诱,teach with skill and patience; lead men skillfully on by orderly method
微不足道,paltry; inconsiderable
微乎其微,next to nothing; very little
微言大义,subtle and profound language; sublime words with deep meaning
彻头彻尾,through and through; downright
德高望重,be of noble character and high prestige; enjoy high prestige and command universal respect
德才兼备,equal stress on integrity and ability; combine ability with moral integrity
心不在焉,absent-minded; inattentive
心平气和,in a composed manner; calm and poised
心满意足,fully satisfied; to one's heart's content
心明眼亮,see and think clearly; be sharp-eyed and clear-headed
心烦意乱,confused and worried; distracted
心服口服,fully convinced; be sincerely convinced
心腹之患,enemy within; one's greatest trouble at home
心胆俱裂,be frightened out of one's wits; thunder-struck
心劳日拙,go on a wild goose chase; get nothing for all one's pains
心力交瘁,be mentally and physically exhausted; worn out with work
心灵手快,clever in mind and quick of action; 
心灵手巧,clever and deft; 
心领神会,understand tacitly; appreciate
心乱如麻,be in a stew; lose one's balance
心甘情愿,perfectly willing; of one's own free will
心宽体胖,fit and happy; carefree and contented
心口如一,say what one thinks; plain spoken
心旷神怡,completely relaxed and happy; carefree and joyous
心狠手辣,cruel and evil; wicked and merciless
